number,business_name,website
+12054871111,"Mark E. Rogers, M.D.",https://www.visittoc.com/locations/toc-winfield/
+12054871111,"Robert Wolf, MD",https://www.visittoc.com/locations/toc-winfield/
+12059711750,"P. Lauren Savage, Jr., M.D.",http://www.summitspineandsports.com/?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings
+12059711750,Alabama orthopedics and sports medicine,http://www.summitspineandsports.com/?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings
,Alabama Bone & Joint Clinic- Clanton,https://alabamaboneandjoint.com/
,"Edward U. Kissel, III, MD - St. Vincent's Orthopedics",https://alabamaboneandjoint.com/
+12059337838,"James V. Worthen, MD",https://stvortho.com/
+12059337838,Dr. Kevin Thompson,https://stvortho.com/
+12053450192,University Orthopaedic Clinic,https://rymap.org/business/dr-kevin-thompson-qtq4ma
+12053450192,"Perry L. Savage, M.D.",http://uocortho.com/
+12053450192,"David Lemak, MD",http://uocortho.com/
+12059718000,"Jason Thomas Randall, M.D.",https://www.grandviewmedicalgroup.com/doctors-providers/lemak-david-md-6309?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings
+12059718000,Baptist Health Medical Group Alabama Spine,https://www.grandviewmedicalgroup.com/doctors-providers/lemak-david-md-6309?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings
+12059718000,"Southern Bone & Joint Specialists | Chase D. Smith, MD,",https://www.grandviewmedicalgroup.com/doctors-providers/lemak-david-md-6309?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings
+13347932663,Gulf Orthopaedics | Fairhope,https://southernbone.com/our-physicians/chase-smith-md/
+13347932663,"The Orthopaedic Clinic, P.C.",https://southernbone.com/our-physicians/chase-smith-md/
+13347498303,Andrews Sports Medicine & Orthopaedic Center - Trussville,http://theorthoclinic.com/
+13347498303,Orthopaedics Services,http://theorthoclinic.com/
+12059308339,Gulf Orthopaedics | Saraland,https://www.uabmedicine.org/specialties/orthopaedics/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
+12059308339,"Perry Hooper III, D.O.",https://www.uabmedicine.org/specialties/orthopaedics/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
+12059308339,USA Health Orthopaedic Surgery Clinic,https://www.uabmedicine.org/specialties/orthopaedics/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing
+12516658200,"Jeffrey Wade, MD",https://www.usahealthsystem.com/specialties/orthopaedics?utm_source=GMBSocialClimb&utm_medium=USAHealthOrthopaedicSurgeryClinic
+12516658200,Gulf Orthopaedics | Foley,https://www.usahealthsystem.com/specialties/orthopaedics?utm_source=GMBSocialClimb&utm_medium=USAHealthOrthopaedicSurgeryClinic
+12514352663,"Roland A. Hester IV, MD",http://gulfortho.com/
+12514352663,"Southern Bone & Joint Specialists | Eufaula, Alabama",http://gulfortho.com/
